layout,problem,m,n,k,required,threads,blas,impl,time_ms,gflops,speedup,correct,timestamp,hostname,file
col-major,144x144x144,144,144,144,True,24,mkl,reference,0.014574,409.774216,1.0,True,2026-06-23T21:22:00,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_col.json
col-major,144x144x144,144,144,144,True,48,mkl,reference,0.014499,411.893102,1.0,True,2026-06-23T21:22:06,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_col.json
col-major,144x144x144,144,144,144,True,96,mkl,reference,0.014179,421.186365,1.0,True,2026-06-23T21:22:11,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_col.json
col-major,4000x16000x128,4000,16000,128,True,1,mkl,reference,187.669145,87.302577,1.0,True,2026-06-23T21:21:14,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_col.json
col-major,4000x16000x128,4000,16000,128,True,2,mkl,reference,96.379302,169.995006,1.0,True,2026-06-23T21:21:31,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_col.json
col-major,4000x16000x128,4000,16000,128,True,4,mkl,reference,49.204967,332.974513,1.0,True,2026-06-23T21:21:42,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_col.json
col-major,4000x16000x128,4000,16000,128,True,8,mkl,reference,25.702148,637.456439,1.0,True,2026-06-23T21:21:49,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_col.json
col-major,4000x16000x128,4000,16000,128,True,16,mkl,reference,15.498018,1057.167459,1.0,True,2026-06-23T21:21:55,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_col.json
col-major,4000x16000x128,4000,16000,128,True,24,mkl,reference,12.590599,1301.288321,1.0,True,2026-06-23T21:22:00,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_col.json
col-major,4000x16000x128,4000,16000,128,True,48,mkl,reference,15.126537,1083.129624,1.0,True,2026-06-23T21:22:06,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_col.json
col-major,4000x16000x128,4000,16000,128,True,96,mkl,reference,4.268101,3838.709746,1.0,True,2026-06-23T21:22:11,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_col.json
row-major,16x12344x16,16,12344,16,False,1,mkl,reference,0.128828,49.058727,1.0,True,2026-06-23T21:21:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_row.json
row-major,16x12344x16,16,12344,16,False,2,mkl,reference,0.067913,93.062798,1.0,True,2026-06-23T21:21:24,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_row.json
row-major,16x12344x16,16,12344,16,False,4,mkl,reference,0.025663,246.273367,1.0,True,2026-06-23T21:21:38,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_row.json
row-major,16x12344x16,16,12344,16,False,8,mkl,reference,0.014567,433.860509,1.0,True,2026-06-23T21:21:46,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_row.json
row-major,16x12344x16,16,12344,16,False,16,mkl,reference,0.011508,549.213008,1.0,True,2026-06-23T21:21:52,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_row.json
row-major,16x12344x16,16,12344,16,False,24,mkl,reference,0.010712,590.02102,1.0,True,2026-06-23T21:21:58,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_row.json
row-major,16x12344x16,16,12344,16,False,48,mkl,reference,0.011873,532.291612,1.0,True,2026-06-23T21:22:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_row.json
row-major,16x12344x16,16,12344,16,False,96,mkl,reference,0.013073,483.460198,1.0,True,2026-06-23T21:22:08,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_row.json
row-major,4x64x606841,4,64,606841,False,1,mkl,reference,28.497182,10.902923,1.0,True,2026-06-23T21:21:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_row.json
row-major,4x64x606841,4,64,606841,False,2,mkl,reference,15.866452,19.582362,1.0,True,2026-06-23T21:21:24,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_row.json
row-major,4x64x606841,4,64,606841,False,4,mkl,reference,8.250428,37.658967,1.0,True,2026-06-23T21:21:38,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t4_row.json
row-major,4x64x606841,4,64,606841,False,8,mkl,reference,4.372426,71.059548,1.0,True,2026-06-23T21:21:46,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t8_row.json
row-major,4x64x606841,4,64,606841,False,16,mkl,reference,2.841448,109.346579,1.0,True,2026-06-23T21:21:52,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t16_row.json
row-major,4x64x606841,4,64,606841,False,24,mkl,reference,2.67561,116.124024,1.0,True,2026-06-23T21:21:58,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t24_row.json
row-major,4x64x606841,4,64,606841,False,48,mkl,reference,4.184002,74.259667,1.0,True,2026-06-23T21:22:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t48_row.json
row-major,4x64x606841,4,64,606841,False,96,mkl,reference,1.293702,240.165425,1.0,True,2026-06-23T21:22:08,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t96_row.json
row-major,442x193x11,442,193,11,False,1,mkl,reference,0.030368,61.798884,1.0,True,2026-06-23T21:21:03,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t1_row.json
row-major,442x193x11,442,193,11,False,2,mkl,reference,0.018884,99.383792,1.0,True,2026-06-23T21:21:24,m3cl0904.para.bscc,33801149_mkl_threads_20260623_212102/results_mkl_t2_row.json
